,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature,Datetime
242,2.276,3.888,-0.6639999999999997,3,1770,1.612,1770-03-01
243,3.516,13.304,6.272,4,1770,9.788,1770-04-01
244,1.27,11.266,8.726,5,1770,9.996,1770-05-01
245,3.395,15.279,8.489,6,1770,11.884,1770-06-01
246,2.658,14.279,8.963000000000001,7,1770,11.621,1770-07-01
247,3.14,14.553,8.273,8,1770,11.413,1770-08-01
248,1.51,12.234,9.214,9,1770,10.724,1770-09-01
249,1.6030000000000002,10.264,7.058,10,1770,8.661,1770-10-01
250,2.7260000000000004,8.517000000000001,3.065,11,1770,5.791,1770-11-01
251,2.87,7.604,1.8639999999999999,12,1770,4.734,1770-12-01
252,4.287,9.388,0.8140000000000001,1,1771,5.101,1771-01-01
253,3.218,2.944,-3.492,2,1771,-0.274,1771-02-01
254,3.237,6.051,-0.42300000000000004,3,1771,2.814,1771-03-01
255,2.647,8.363999999999999,3.069999999999999,4,1771,5.716999999999999,1771-04-01
256,3.088,12.713999999999999,6.537999999999999,5,1771,9.626,1771-05-01
257,1.403,15.507,12.700999999999999,6,1771,14.104,1771-06-01
258,1.435,15.263,12.392999999999999,7,1771,13.828,1771-07-01
259,2.246,16.45,11.958,8,1771,14.204,1771-08-01
260,1.515,12.878,9.847999999999999,9,1771,11.363,1771-09-01
261,1.7209999999999999,12.038,8.596,10,1771,10.317,1771-10-01
262,2.952,7.868,1.9640000000000004,11,1771,4.916,1771-11-01
263,3.5060000000000002,6.0280000000000005,-0.9840000000000004,12,1771,2.522,1771-12-01
264,4.624,5.877,-3.3709999999999996,1,1772,1.253,1772-01-01
265,5.962999999999999,7.440999999999999,-4.484999999999999,2,1772,1.4780000000000002,1772-02-01
266,2.206,5.263,0.851,3,1772,3.057,1772-03-01
267,1.524,10.381999999999998,7.333999999999997,4,1772,8.857999999999997,1772-04-01
268,1.844,11.375,7.687,5,1772,9.531,1772-05-01
269,2.4290000000000003,15.075999999999999,10.217999999999998,6,1772,12.646999999999998,1772-06-01
270,1.409,15.99,13.171999999999999,7,1772,14.581,1772-07-01
271,1.641,15.739,12.457,8,1772,14.098,1772-08-01
272,1.334,11.636999999999999,8.969,9,1772,10.302999999999999,1772-09-01
273,1.386,10.653999999999998,7.881999999999999,10,1772,9.267999999999999,1772-10-01
274,2.582,10.318000000000001,5.154000000000002,11,1772,7.7360000000000015,1772-11-01
275,2.6239999999999997,8.136,2.888000000000001,12,1772,5.5120000000000005,1772-12-01
276,2.9330000000000003,2.4960000000000004,-3.37,1,1773,-0.43699999999999983,1773-01-01
277,3.0210000000000004,4.442,-1.6000000000000005,2,1773,1.4209999999999998,1773-02-01
278,2.083,6.505000000000002,2.3390000000000013,3,1773,4.4220000000000015,1773-03-01
279,2.095,11.51,7.3199999999999985,4,1773,9.415,1773-04-01
280,2.537,15.300999999999998,10.227,5,1773,12.764,1773-05-01
281,1.2590000000000001,14.07,11.552,6,1773,12.811,1773-06-01
282,1.085,15.569000000000003,13.399000000000001,7,1773,14.484000000000002,1773-07-01
283,1.162,14.786000000000001,12.462,8,1773,13.624,1773-08-01
284,1.676,14.164,10.812,9,1773,12.488,1773-09-01
285,1.874,11.08,7.331999999999999,10,1773,9.206,1773-10-01
286,4.817,8.186,-1.4480000000000004,11,1773,3.3689999999999998,1773-11-01
287,3.787,8.877999999999998,1.3039999999999985,12,1773,5.090999999999998,1773-12-01
288,4.5569999999999995,4.232,-4.881999999999999,1,1774,-0.3249999999999997,1774-01-01
289,5.124,10.038,-0.20999999999999996,2,1774,4.914,1774-02-01
290,2.779,8.422,2.864,3,1774,5.643,1774-03-01
291,3.8489999999999998,14.001999999999999,6.3039999999999985,4,1774,10.152999999999999,1774-04-01
292,2.535,18.56,13.489999999999998,5,1774,16.025,1774-05-01
293,3.891,19.262,11.479999999999999,6,1774,15.370999999999999,1774-06-01
294,3.806,20.327,12.715,7,1774,16.521,1774-07-01
295,1.9469999999999998,16.046,12.152000000000001,8,1774,14.099,1774-08-01
296,2.115,13.051,8.821,9,1774,10.936,1774-09-01
297,2.625,11.215,5.965,10,1774,8.59,1774-10-01
298,4.4830000000000005,7.5120000000000005,-1.4540000000000006,11,1774,3.029,1774-11-01
299,3.2710000000000004,3.5810000000000004,-2.9610000000000003,12,1774,0.31000000000000005,1774-12-01
300,3.435,7.696,0.8260000000000001,1,1775,4.261,1775-01-01
301,3.139,9.566,3.2880000000000007,2,1775,6.4270000000000005,1775-02-01
302,2.394,10.152999999999999,5.364999999999998,3,1775,7.758999999999999,1775-03-01
303,1.538,9.489999999999998,6.413999999999999,4,1775,7.951999999999999,1775-04-01
304,1.8459999999999999,13.245,9.552999999999999,5,1775,11.399,1775-05-01
305,2.805,15.119,9.509,6,1775,12.314,1775-06-01
306,1.058,15.777,13.661,7,1775,14.719,1775-07-01
307,1.093,15.528,13.342,8,1775,14.435,1775-08-01
308,1.459,12.554999999999998,9.636999999999999,9,1775,11.095999999999998,1775-09-01
309,2.116,12.488,8.256,10,1775,10.372,1775-10-01
310,4.56,12.739,3.6190000000000007,11,1775,8.179,1775-11-01
311,2.404,3.6879999999999997,-1.12,12,1775,1.2839999999999998,1775-12-01
312,4.467,3.6609999999999996,-5.273,1,1776,-0.8059999999999999,1776-01-01
313,3.762,8.587,1.0630000000000002,2,1776,4.825,1776-02-01
314,2.388,7.04,2.2640000000000002,3,1776,4.652,1776-03-01
315,1.4040000000000001,8.844,6.035999999999999,4,1776,7.439999999999999,1776-04-01
316,5.237,15.712,5.2379999999999995,5,1776,10.475,1776-05-01
317,2.4330000000000003,16.997,12.131,6,1776,14.564,1776-06-01
318,1.3030000000000002,15.411000000000001,12.805,7,1776,14.108,1776-07-01
319,3.437,18.274,11.4,8,1776,14.837,1776-08-01
320,2.065,12.667,8.537,9,1776,10.602,1776-09-01
321,2.1519999999999997,10.211999999999998,5.9079999999999995,10,1776,8.059999999999999,1776-10-01
322,2.7880000000000003,8.658000000000001,3.082,11,1776,5.87,1776-11-01
323,2.9339999999999997,7.955,2.087,12,1776,5.021,1776-12-01
324,3.11,9.131,2.911000000000001,1,1777,6.021000000000001,1777-01-01
325,5.268,10.187000000000001,-0.3489999999999993,2,1777,4.9190000000000005,1777-02-01
326,2.307,7.879,3.265,3,1777,5.572,1777-03-01
