BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASE-MENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,84,1082,,R4,"140 WEST STREET, 15A",15A,10007.0,1.0,0.0,1.0,0,2663.0,1930.0,2,R4,5270000,2019-02-28
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,140,1044,,R4,"303 GREENWICH STREET, 5F",5F,10013.0,1.0,0.0,1.0,0,634.0,0.0,2,R4,858000,2019-02-28
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2118,,R4,"350 ALBANY STREET, M3",M3,10280.0,1.0,0.0,1.0,0,756.0,0.0,2,R4,685000,2019-03-04
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2424,,R4,"300 ALBANY STREET, 4F",4F,10280.0,1.0,0.0,1.0,0,530.0,1986.0,2,R4,490000,2019-03-05
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,4388,,R4,"212 WARREN STREET, 9N",9N,10282.0,1.0,0.0,1.0,0,1061.0,2000.0,2,R4,1754000,2019-03-05
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2476,,R4,"300 ALBANY STREET, 7M",7M,10280.0,1.0,0.0,1.0,0,695.0,1986.0,2,R4,475000,2019-03-06
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1882,,R4,"111 MURRAY STREET, 28W",28W,10007.0,1.0,0.0,1.0,0,2685.0,2016.0,2,R4,7722000,2019-03-11
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1934,,R4,"111 MURRAY STREET, 49W",49W,10007.0,1.0,0.0,1.0,0,3243.0,2016.0,2,R4,12142631,2019-03-11
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,132,1063,,R4,"275 GREENWICH STREET, 6D-S",6DS,10007.0,1.0,0.0,1.0,0,2342.0,1987.0,2,R4,3700000,2019-03-13
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,4462,,R4,"212 WARREN STREET, 20G",20G,10282.0,1.0,0.0,1.0,0,2481.0,2000.0,2,R4,4800000,2019-03-14
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,137,1088,,R4,"295 GREENWICH STREET, 7O-N",7ON,10007.0,1.0,0.0,1.0,0,440.0,1987.0,2,R4,630000,2019-03-14
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,1818,,R4,"70 LITTLE WEST STREET, 14B",14B,10004.0,1.0,0.0,1.0,0,1311.0,2006.0,2,R4,2050000,2019-03-15
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,3114,,R4,"280 RECTOR PLACE, 9F",9F,10280.0,1.0,0.0,1.0,0,915.0,0.0,2,R4,424770,2019-03-15
